00.00,SECRETARIA ACADEMICA,Todos,SECRETARIA ACADEMICA,Todos,Todos,,,,SECRETARIA ACADEMICA,00.00,,SECRETARIA ACADEMICA,00.00
94.27,Administracion Recursos Humanos,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,28,,Redes de Valor e Innovacion de Modelos de Negocios,10.05,,Administracion Recursos Humanos,94.27
93.21,Algebra,Grado,Matematica,Segundo Cuat.,2013,Si,32,,Org. de la Produccion II,11.02,,Algebra,93.21
93.58,Algebra,Grado,Matematica,Segundo Cuat.,2013,Si,46,,Calidad,11.05,,Algebra,93.58
93.18,Algebra Lineal,Grado,Matematica,Segundo Cuat.,2013,Si,200,,Calidad II,11.09,,Algebra Lineal,93.18
22.08,Algoritmos y Estructura de Datos,Grado,Electronica,Segundo Cuat.,2013,Si,13,,Organizacion de la Produccion I,11.10,,Algoritmos y Estructura de Datos,22.08
32.56,Alistamiento Naval,Grado,Naval,Segundo Cuat.,2013,Si,3,,Materiales y Procesos,11.16,,Alistamiento Naval,32.56
14.50,Analisis de Riesgos y Puntos Criticos de Control,Grado,Industrial,Segundo Cuat.,2013,Si,19,,Gerenciamiento de Proyectos,11.17,,Analisis de Riesgos y Puntos Criticos de Control,14.50
93.20,Analisis Matematico,Grado,Matematica,Segundo Cuat.,2013,Si,32,,Ingenieria y Mantenimiento,11.18,,Analisis Matematico,93.20
93.26,Analisis Matematico I,Grado,Matematica,Segundo Cuat.,2013,Si,43,,Costos Industriales,11.19,,Analisis Matematico I,93.26
93.28,Analisis Matematico II,Grado,Matematica,Segundo Cuat.,2013,Si,19,,Presupuesto y Control,11.20,,Analisis Matematico II,93.28
81.31,Analisis y Diseño de Aplicaciones Informaticas,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,17,,Taller de Modelizacion de Productos,11.34,,Analisis y Diseño de Aplicaciones Informaticas,81.31
81.30,Analisis y Modelado de Procesos de Negocios,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,27,,Gestion de Proyectos Tecnologicos,11.35,,Analisis y Modelado de Procesos de Negocios,81.30
72.52,Analisis y Tratamiento de Imagenes,Grado,Informatica,Segundo Cuat.,2013,Si,7,,Marketing,11.39,,Analisis y Tratamiento de Imagenes,72.52
72.72,Analisis y Verificacion de Modelos y Codigos,Grado,Informatica,Segundo Cuat.,2013,Si,0,,Marketing II,11.40,,Analisis y Verificacion de Modelos y Codigos,72.72
22.22,Antenas y Radiopropagacion,Grado,Electronica,Segundo Cuat.,2013,Si,8,,Proyectos de Inversion  (Anual),11.41,,Antenas y Radiopropagacion,22.22
81.08,Aplicacion de las Telecomunicaciones,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,31,,Planeamiento Estrategico,11.46,,Aplicacion de las Telecomunicaciones,81.08
72.75,Aprendizaje Automatico (Machine Learning),Grado,Informatica,Segundo Cuat.,2013,Si,1,,Investigacion Operativa,11.51,,Aprendizaje Automatico (Machine Learning),72.75
32.51,Arquitectura Naval II,Grado,Naval,Segundo Cuat.,2013,Si,4,,Dinamica de Sistemas,11.58,,Arquitectura Naval II,32.51
72.08,Arquitecturas de Computadoras,Grado,Informatica,Segundo Cuat.,2013,Si,20,,Logistica,11.59,,Arquitecturas de Computadoras,72.08
22.90,Automacion Industrial,Grado,Electronica,Segundo Cuat.,2013,Si,23,,Simulacion,11.63,,Automacion Industrial,22.90
72.39,"Automatas, Teoria de Lenguajes y Compiladores",Grado,Informatica,Segundo Cuat.,2013,Si,19,,Estadistica Aplicada,11.67,,"Automatas, Teoria de Lenguajes y Compiladores",72.39
72.37,Base de Datos I,Grado,Informatica,Segundo Cuat.,2013,Si,19,,Teoria de la Decision,11.73,,Base de Datos I,72.37
72.41,Base de Datos II,Grado,Informatica,Segundo Cuat.,2013,Si,14,,Gestion de Operaciones,11.83,,Base de Datos II,72.41
72.80,Big Data,Grado,Informatica,Segundo Cuat.,2013,Si,10,,Gestion de Proyectos,11.84,,Big Data,72.80
16.01,Biologia Molecular y Celular,Grado,Bioingenieria,Segundo Cuat.,2013,Si,10,,Toma de Decisiones,11.85,,Biologia Molecular y Celular,16.01
12.52,Bioquimica de los Alimentos,Grado,Quimica,Segundo Cuat.,2013,Si,0,,Metodologia de Investigacion,11.91,,Bioquimica de los Alimentos,12.52
12.08,Bioquimica y Microbiologia,Grado,Quimica,Segundo Cuat.,2013,Si,10,,Proyecto Final de Ingenieria Industrial,11.99,,Bioquimica y Microbiologia,12.08
11.05,Calidad,Grado,Industrial,Segundo Cuat.,2013,Si,44,,Quimica I,12.01,,Calidad,11.05
11.09,Calidad II,Grado,Industrial,Segundo Cuat.,2013,Si,7,,Quimica II,12.02,,Calidad II,11.09
21.82,Centrales Electricas,Grado,Electrica,Segundo Cuat.,2013,Si,4,,Bioquimica y Microbiologia,12.08,,Centrales Electricas,21.82
81.23,Comercio Electronico,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,24,,Quimica,12.09,,Comercio Electronico,81.23
94.42,Comunicacion Estrategica,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,15,,Introduccion a la Ingenieria Quimica,12.10,,Comunicacion Estrategica,94.42
31.52,Construcciones Industriales(i),Grado,Mecanica,Segundo Cuat.,2013,Si,34,,Operaciones Unitarias I,12.11,,Construcciones Industriales(i),31.52
81.11,Contabilidad Gerencial,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,32,,Operaciones Unitarias II,12.12,,Contabilidad Gerencial,81.11
22.93,Control Automatico,Grado,Electronica,Segundo Cuat.,2013,Si,12,,Operaciones Unitarias III,12.13,,Control Automatico,22.93
12.47,Control de Procesos/Laboratorio de Control de Procesos,Grado,Quimica,Segundo Cuat.,2013,Si,14,,Fenomenos de Transporte,12.16,,Control de Procesos/Laboratorio de Control de Procesos,12.47
22.94,Control Discreto,Grado,Electronica,Segundo Cuat.,2013,Si,9,,Quimica Analitica,12.19,,Control Discreto,22.94
11.19,Costos Industriales,Grado,Industrial,Segundo Cuat.,2013,Si,50,,Quimica-fisica,12.20,,Costos Industriales,11.19
14.05,Creatividad,Grado,Industrial,Segundo Cuat.,2013,Si,30,,Ingenieria de Reacciones y Reactores I,12.24,,Creatividad,14.05
61.92,Derecho Aduanero,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,15,,Termodinamica,12.26,,Derecho Aduanero,61.92
61.31,Derecho para Ingenieros,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,71,,Simulacion de Procesos,12.27,,Derecho para Ingenieros,61.31
61.32,Derecho para Ingenieros,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,23,,Residuos solidos y residuos peligrosos,12.28,,Derecho para Ingenieros,61.32
61.90,Derecho Publico y Privado,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,21,,Industrializacion y Economia Petrolera,12.30,,Derecho Publico y Privado,61.90
41.19,Desarrollo de Negocios,Grado,Petroleo,Segundo Cuat.,2013,Si,13,,Quimica Organica I,12.32,,Desarrollo de Negocios,41.19
72.65,Desarrollo de Videojuegos 2D en iPhone OS,Grado,Informatica,Segundo Cuat.,2013,Si,9,,Quimica Organica II,12.33,,Desarrollo de Videojuegos 2D en iPhone OS,72.65
41.26,Desarrollo de Yacimientos  (Anual),Grado,Petroleo,Primer Cuat.,2013,Si,17,,Control de Procesos/Laboratorio de Control de Procesos,12.47,,Desarrollo de Yacimientos  (Anual),41.26
81.50,Diagnostico Empresario y Plan de Accion ( Trabajo Final ),Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,0,,Bioquimica de los Alimentos,12.52,,Diagnostico Empresario y Plan de Accion ( Trabajo Final ),81.50
81.55,Diagnostico Empresario y Plan de Accion ( Trabajo Final ),Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,27,,Seminario: Introduccion a la Tecnologia de los Alimentos,12.54,,Diagnostico Empresario y Plan de Accion ( Trabajo Final ),81.55
11.58,Dinamica de Sistemas,Grado,Industrial,Segundo Cuat.,2013,Si,41,,Seguridad e Inocuidad Alimentaria,12.57,,Dinamica de Sistemas,11.58
31.89,Dinamica del Automovil,Grado,Mecanica,Segundo Cuat.,2013,Si,6,,Ing. de los Alimentos,12.58,,Dinamica del Automovil,31.89
12.85,Diseño Conceptual de Procesos,Grado,Quimica,Segundo Cuat.,2013,Si,14,,Industrias Quimicas,12.77,,Diseño Conceptual de Procesos,12.85
22.31,Diseño de Equipos Electronicos  (Anual),Grado,Electronica,Primer Cuat.,2013,Si,16,,Seguridad Ocupacional y Ambiental,12.83,,Diseño de Equipos Electronicos  (Anual),22.31
22.31,Diseño de Equipos Electronicos  (Anual),Grado,Electronica,Segundo Cuat.,2013,Si,9,,Diseño Conceptual de Procesos,12.85,,Diseño de Equipos Electronicos  (Anual),22.31
31.20,Diseño Mecanico,Grado,Mecanica,Segundo Cuat.,2013,Si,31,,Proyecto de Plantas  (Anual),12.90,,Diseño Mecanico,31.20
72.32,Diseño y Procesamiento de Doc Xml,Grado,Informatica,Segundo Cuat.,2013,Si,24,,Proyecto de Plantas  (Anual),12.90,,Diseño y Procesamiento de Doc Xml,72.32
16.35,Dispositivos Bioelectronicos,Grado,Bioingenieria,Segundo Cuat.,2013,Si,3,,"Higiene, Seguridad y Medio Ambiente",12.93,,Dispositivos Bioelectronicos,16.35
21.88,Distribucion de la Energia Electrica,Grado,Electrica,Segundo Cuat.,2013,Si,3,,Trabajo de Laboratorio de Quimica,12.95,,Distribucion de la Energia Electrica,21.88
61.28,Economia,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,48,,Trabajo Supervisado,12.96,,Economia,61.28
61.10,Economia Internacional,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,17,,Trabajo Supervisado,12.99,,Economia Internacional,61.10
61.23,Economia para Ingenieros,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,91,,Creatividad,14.05,,Economia para Ingenieros,61.23
61.24,Economia para Ingenieros,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,23,,Reingenieria de Procesos,14.12,,Economia para Ingenieros,61.24
14.52,Eficiencia Energetica,Grado,Industrial,Segundo Cuat.,2013,Si,21,,Ingenieria y cambios Climaticos,14.40,,Eficiencia Energetica,14.52
22.21,Electromagnetismo,Grado,Electronica,Segundo Cuat.,2013,Si,1,,Integracion de Procesos y Sistemas en SCM,14.49,,Electromagnetismo,22.21
22.10,Electronica e Instrumentacion,Grado,Electronica,Segundo Cuat.,2013,Si,89,,Analisis de Riesgos y Puntos Criticos de Control,14.50,,Electronica e Instrumentacion,22.10
22.20,Electronica General,Grado,Electronica,Segundo Cuat.,2013,Si,15,,Eficiencia Energetica,14.52,,Electronica General,22.20
22.59,Electronica I,Grado,Electronica,Segundo Cuat.,2013,Si,12,,Strategy Development,14.54,,Electronica I,22.59
22.13,Electronica III,Grado,Electronica,Segundo Cuat.,2013,Si,15,,Biologia Molecular y Celular,16.01,,Electronica III,22.13
21.06,Electrotecnia,Grado,Electrica,Segundo Cuat.,2013,Si,87,,Fisiologia Cuantitativa,16.14,,Electrotecnia,21.06
21.08,Electrotecnia,Grado,Electrica,Segundo Cuat.,2013,Si,38,,Dispositivos Bioelectronicos,16.35,,Electrotecnia,21.08
30.07,Elementos Finitos I,Grado,Mecanica,Segundo Cuat.,2013,Si,24,,Introduccion a la Bioinformatica,16.50,,Elementos Finitos I,30.07
31.91,Elementos Finitos I,Grado,Mecanica,Segundo Cuat.,2013,Si,12,,Electrotecnia,21.06,,Elementos Finitos I,31.91
21.73,Energias Alternativas,Grado,Electrica,Segundo Cuat.,2013,Si,3,,Maquinas e Instalaciones Electricas,21.07,,Energias Alternativas,21.73
31.16,Ensayo de Materiales,Grado,Mecanica,Segundo Cuat.,2013,Si,18,,Electrotecnia,21.08,,Ensayo de Materiales,31.16
30.11,Ensayos No Destructivos,Grado,Mecanica,Segundo Cuat.,2013,Si,6,,Instalaciones Electricas y Luminotecnia,21.65,,Ensayos No Destructivos,30.11
94.63,Epistemologia y Heuristica,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,33,,Mantenimiento de Maquinas e Instalaciones Electricas,21.72,,Epistemologia y Heuristica,94.63
94.54,Español intensivo para extranjeros A2,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,14,,Energias Alternativas,21.73,,Español intensivo para extranjeros A2,94.54
99.51,Español Lengua Segunda B1,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,0,,Instrumentos y Mediciones Electricas,21.74,,Español Lengua Segunda B1,99.51
99.52,Español Lengua Segunda B2,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,0,,Maquinas Electricas I,21.80,,Español Lengua Segunda B2,99.52
99.53,Español Lengua Segunda C1,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,0,,Centrales Electricas,21.82,,Español Lengua Segunda C1,99.53
99.54,"Español para Extranjeros, Nivel C2",Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,0,,Transmision de la Energia Electrica,21.83,,"Español para Extranjeros, Nivel C2",99.54
94.57,Español Semi-intensivo para Extranjeros B1,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,0,,Proyecto Final  (Anual),21.84,,Español Semi-intensivo para Extranjeros B1,94.57
94.58,Español Semi-intensivo para Extranjeros B2,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,0,,Mercado Electrico,21.87,,Español Semi-intensivo para Extranjeros B2,94.58
93.39,Estadistica,Grado,Matematica,Segundo Cuat.,2013,Si,19,,Distribucion de la Energia Electrica,21.88,,Estadistica,93.39
11.67,Estadistica Aplicada,Grado,Industrial,Segundo Cuat.,2013,Si,70,,Teoria de Circuitos,22.01,,Estadistica Aplicada,11.67
31.34,Estatica,Grado,Mecanica,Segundo Cuat.,2013,Si,26,,Introduccion a la Computacion,22.06,,Estatica,31.34
31.17,Estatica y Resist. de Mat.,Grado,Mecanica,Segundo Cuat.,2013,Si,95,,Programacion I,22.07,,Estatica y Resist. de Mat.,31.17
31.19,Estatica y Resistencia de Materiales,Grado,Mecanica,Segundo Cuat.,2013,Si,33,,Algoritmos y Estructura de Datos,22.08,,Estatica y Resistencia de Materiales,31.19
72.34,Estructura de Datos y Algoritmos,Grado,Informatica,Segundo Cuat.,2013,Si,17,,Electronica e Instrumentacion,22.10,,Estructura de Datos y Algoritmos,72.34
71.44,Estructura de Datos y Programacion,Grado,Informatica,Segundo Cuat.,2013,Si,18,,Electronica III,22.13,,Estructura de Datos y Programacion,71.44
94.40,Estructura de las Organizaciones,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,24,,Electronica General,22.20,,Estructura de las Organizaciones,94.40
94.62,Etica en los Negocios,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,62,,Electromagnetismo,22.21,,Etica en los Negocios,94.62
12.16,Fenomenos de Transporte,Grado,Quimica,Segundo Cuat.,2013,Si,13,,Antenas y Radiopropagacion,22.22,,Fenomenos de Transporte,12.16
94.61,Filosofia,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,32,,Diseño de Equipos Electronicos  (Anual),22.31,,Filosofia,94.61
61.50,Finanzas de la Empresa,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,39,,Diseño de Equipos Electronicos  (Anual),22.31,,Finanzas de la Empresa,61.50
93.41,Fisica I,Grado,Fisica,Segundo Cuat.,2013,Si,210,,Microelectronica,22.33,,Fisica I,93.41
93.42,Fisica II,Grado,Fisica,Segundo Cuat.,2013,Si,217,,Fundamentos de Electromagnetismo,22.37,,Fisica II,93.42
93.53,Fisica II (Quimicos),Grado,Fisica,Segundo Cuat.,2013,Si,24,,Interfaces Bioelectronicas,22.38,,Fisica II (Quimicos),93.53
93.43,Fisica III,Grado,Fisica,Segundo Cuat.,2013,Si,209,,Laboratorio de Electronica,22.42,,Fisica III,93.43
93.44,Fisica IV,Grado,Fisica,Segundo Cuat.,2013,Si,153,,Procesamiento de Voz,22.47,,Fisica IV,93.44
31.95,Fisica y Mecanica de Aceros,Grado,Mecanica,Segundo Cuat.,2013,Si,10,,Procesamiento de Imagenes,22.48,,Fisica y Mecanica de Aceros,31.95
16.14,Fisiologia Cuantitativa,Grado,Bioingenieria,Segundo Cuat.,2013,Si,7,,Laboratorio de Dsp-fpga,22.49,,Fisiologia Cuantitativa,16.14
41.44,Fluidos de Perforacion,Grado,Petroleo,Segundo Cuat.,2013,Si,6,,Tecnologia de Mat.electronicos,22.53,,Fluidos de Perforacion,41.44
94.21,Formacion General I,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,147,,Electronica I,22.59,,Formacion General I,94.21
94.28,Formacion General II,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,35,,Transmision de la Informacion,22.61,,Formacion General II,94.28
94.23,Formacion General III,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,76,,Redes Digitales,22.66,,Formacion General III,94.23
94.10,Formacion para Emprendedores,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,28,,Instrumentacion y Control Industrial,22.73,,Formacion para Emprendedores,94.10
94.29,Formacion para Emprendedores,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,101,,Sistemas de Control,22.85,,Formacion para Emprendedores,94.29
22.37,Fundamentos de Electromagnetismo,Grado,Electronica,Segundo Cuat.,2013,Si,22,,Automacion Industrial,22.90,,Fundamentos de Electromagnetismo,22.37
41.15,Gas y Gasolina Natural,Grado,Petroleo,Segundo Cuat.,2013,Si,16,,Control Automatico,22.93,,Gas y Gasolina Natural,41.15
41.18,Geofisica de Reservorios,Grado,Petroleo,Segundo Cuat.,2013,Si,20,,Control Discreto,22.94,,Geofisica de Reservorios,41.18
41.05,Geologia del Petroleo,Grado,Petroleo,Segundo Cuat.,2013,Si,22,,Lab. de Microprocesadores,22.99,,Geologia del Petroleo,41.05
41.32,Geologia para Ingenieros,Grado,Petroleo,Segundo Cuat.,2013,Si,2,,Manufactura,30.05,,Geologia para Ingenieros,41.32
11.17,Gerenciamiento de Proyectos,Grado,Industrial,Segundo Cuat.,2013,Si,4,,Motores de Combustion Interna I A,30.06,,Gerenciamiento de Proyectos,11.17
71.88,Gestion de Datos,Grado,Informatica,Segundo Cuat.,2013,Si,51,,Elementos Finitos I,30.07,,Gestion de Datos,71.88
94.41,Gestion de los Recursos Humanos,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,22,,Motores de Combustion Interna I B,30.09,,Gestion de los Recursos Humanos,94.41
11.83,Gestion de Operaciones,Grado,Industrial,Segundo Cuat.,2013,Si,32,,Ensayos No Destructivos,30.11,,Gestion de Operaciones,11.83
11.84,Gestion de Proyectos,Grado,Industrial,Segundo Cuat.,2013,Si,23,,Motores de Combustion Interna II,30.13,,Gestion de Proyectos,11.84
72.43,Gestion de Proyectos Informaticos,Grado,Informatica,Segundo Cuat.,2013,Si,4,,Sistemas de Representacion,31.08,,Gestion de Proyectos Informaticos,72.43
11.35,Gestion de Proyectos Tecnologicos,Grado,Industrial,Segundo Cuat.,2013,Si,16,,Ensayo de Materiales,31.16,,Gestion de Proyectos Tecnologicos,11.35
81.21,Gestion de Ventas,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,52,,Estatica y Resist. de Mat.,31.17,,Gestion de Ventas,81.21
61.12,Gestion Financiera,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,36,,Laboratorio de Materiales,31.18,,Gestion Financiera,61.12
81.64,Gestion y Sistemas de Informacion de la Logistica Internacional,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,16,,Estatica y Resistencia de Materiales,31.19,,Gestion y Sistemas de Informacion de la Logistica Internacional,81.64
12.93,"Higiene, Seguridad y Medio Ambiente",Grado,Quimica,Segundo Cuat.,2013,Si,34,,Diseño Mecanico,31.20,,"Higiene, Seguridad y Medio Ambiente",12.93
81.25,Impuestos,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,38,,Termodinamica,31.21,,Impuestos,81.25
12.30,Industrializacion y Economia Petrolera,Grado,Quimica,Segundo Cuat.,2013,Si,43,,Mecanica de Fluidos,31.22,,Industrializacion y Economia Petrolera,12.30
12.77,Industrias Quimicas,Grado,Quimica,Segundo Cuat.,2013,Si,21,,Mecanica de Fluidos,31.24,,Industrias Quimicas,12.77
71.55,Informatica General,Grado,Informatica,Segundo Cuat.,2013,Si,156,,Termodinamica,31.25,,Informatica General,71.55
12.58,Ing. de los Alimentos,Grado,Quimica,Segundo Cuat.,2013,Si,8,,Mecanica de Fluidos,31.26,,Ing. de los Alimentos,12.58
12.24,Ingenieria de Reacciones y Reactores I,Grado,Quimica,Segundo Cuat.,2013,Si,14,,Mecanismos y Elementos de Maquinas,31.27,,Ingenieria de Reacciones y Reactores I,12.24
72.35,Ingenieria de Software I,Grado,Informatica,Segundo Cuat.,2013,Si,12,,Maquinas e Instalaciones Termicas,31.28,,Ingenieria de Software I,72.35
72.40,Ingenieria de Software II,Grado,Informatica,Segundo Cuat.,2013,Si,5,,Materiales Polimericos,31.30,,Ingenieria de Software II,72.40
14.40,Ingenieria y cambios Climaticos,Grado,Industrial,Segundo Cuat.,2013,Si,12,,Mecanismos,31.33,,Ingenieria y cambios Climaticos,14.40
11.18,Ingenieria y Mantenimiento,Grado,Industrial,Segundo Cuat.,2013,Si,8,,Estatica,31.34,,Ingenieria y Mantenimiento,11.18
21.65,Instalaciones Electricas y Luminotecnia,Grado,Electrica,Segundo Cuat.,2013,Si,2,,Resistencia de Materiales,31.35,,Instalaciones Electricas y Luminotecnia,21.65
22.73,Instrumentacion y Control Industrial,Grado,Electronica,Segundo Cuat.,2013,Si,41,,Transferencia de Calor,31.37,,Instrumentacion y Control Industrial,22.73
21.74,Instrumentos y Mediciones Electricas,Grado,Electrica,Segundo Cuat.,2013,Si,6,,Proyecto Mecanico  (Anual),31.40,,Instrumentos y Mediciones Electricas,21.74
81.38,Integracion de Procesos de Negocios y Aplic Inf,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,11,,Proyecto Mecanico  (Anual),31.40,,Integracion de Procesos de Negocios y Aplic Inf,81.38
14.49,Integracion de Procesos y Sistemas en SCM,Grado,Industrial,Segundo Cuat.,2013,Si,17,,Construcciones Industriales(i),31.52,,Integracion de Procesos y Sistemas en SCM,14.49
