00.00,SECRETARIA ACADEMICA,Todos,SECRETARIA ACADEMICA,Todos,Todos,,,,SECRETARIA ACADEMICA,00.00,,SECRETARIA ACADEMICA,00.00
72.36,Interaccion Hombre-computadora (HCI),Grado,Informatica,Segundo Cuat.,2013,Si,23,,Proyectos Mecatronicos  (Anual),31.58,,Interaccion Hombre-computadora (HCI),72.36
22.38,Interfaces Bioelectronicas,Grado,Electronica,Segundo Cuat.,2013,Si,0,,Proyectos Mecatronicos  (Anual),31.58,,Interfaces Bioelectronicas,22.38
16.50,Introduccion a la Bioinformatica,Grado,Bioingenieria,Segundo Cuat.,2013,Si,2,,Procesos de Manufactura II,31.65,,Introduccion a la Bioinformatica,16.50
22.06,Introduccion a la Computacion,Grado,Electronica,Segundo Cuat.,2013,Si,14,,Sistemas Mecatronicos,31.82,,Introduccion a la Computacion,22.06
72.03,Introduccion a la Informatica,Grado,Informatica,Segundo Cuat.,2013,Si,29,,Transmisiones Automotrices,31.85,,Introduccion a la Informatica,72.03
12.10,Introduccion a la Ingenieria Quimica,Grado,Quimica,Segundo Cuat.,2013,Si,24,,Proyecto Automotor  (Anual),31.88,,Introduccion a la Ingenieria Quimica,12.10
81.02,Introduccion a la Licenciatura en Adm y Sistemas,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,24,,Dinamica del Automovil,31.89,,Introduccion a la Licenciatura en Adm y Sistemas,81.02
71.57,Introduccion a la Programacion,Grado,Informatica,Segundo Cuat.,2013,Si,24,,Elementos Finitos I,31.91,,Introduccion a la Programacion,71.57
72.50,Introduccion Al Desarrollo de Videojuegos,Grado,Informatica,Segundo Cuat.,2013,Si,10,,Tecnologia de Materiales Compuestos,31.94,,Introduccion Al Desarrollo de Videojuegos,72.50
11.51,Investigacion Operativa,Grado,Industrial,Segundo Cuat.,2013,Si,87,,Fisica y Mecanica de Aceros,31.95,,Investigacion Operativa,11.51
22.99,Lab. de Microprocesadores,Grado,Electronica,Segundo Cuat.,2013,Si,13,,Mecatronica Aplicada,31.99,,Lab. de Microprocesadores,22.99
22.49,Laboratorio de Dsp-fpga,Grado,Electronica,Segundo Cuat.,2013,Si,4,,Arquitectura Naval II,32.51,,Laboratorio de Dsp-fpga,22.49
22.42,Laboratorio de Electronica,Grado,Electronica,Segundo Cuat.,2013,Si,20,,Maquinas Marinas II,32.53,,Laboratorio de Electronica,22.42
31.18,Laboratorio de Materiales,Grado,Mecanica,Segundo Cuat.,2013,Si,18,,Alistamiento Naval,32.56,,Laboratorio de Materiales,31.18
93.35,Logica Computacional,Grado,Matematica,Segundo Cuat.,2013,Si,31,,Perforacion Petrolera I,41.03,,Logica Computacional,93.35
11.59,Logistica,Grado,Industrial,Segundo Cuat.,2013,Si,42,,Geologia del Petroleo,41.05,,Logistica,11.59
61.82,Macroeconomia,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,41,,Petrofisica y Fluidos de Reservorios,41.08,,Macroeconomia,61.82
21.72,Mantenimiento de Maquinas e Instalaciones Electricas,Grado,Electrica,Segundo Cuat.,2013,Si,3,,Recuperacion Asistida de Petr.,41.10,,Mantenimiento de Maquinas e Instalaciones Electricas,21.72
30.05,Manufactura,Grado,Mecanica,Segundo Cuat.,2013,Si,25,,Gas y Gasolina Natural,41.15,,Manufactura,30.05
21.07,Maquinas e Instalaciones Electricas,Grado,Electrica,Segundo Cuat.,2013,Si,81,,Geofisica de Reservorios,41.18,,Maquinas e Instalaciones Electricas,21.07
31.28,Maquinas e Instalaciones Termicas,Grado,Mecanica,Segundo Cuat.,2013,Si,82,,Desarrollo de Negocios,41.19,,Maquinas e Instalaciones Termicas,31.28
21.80,Maquinas Electricas I,Grado,Electrica,Segundo Cuat.,2013,Si,7,,Practica de Campo I,41.21,,Maquinas Electricas I,21.80
32.53,Maquinas Marinas II,Grado,Naval,Segundo Cuat.,2013,Si,2,,Practica de Campo II,41.22,,Maquinas Marinas II,32.53
11.39,Marketing,Grado,Industrial,Segundo Cuat.,2013,Si,84,,Terminacion y Reparacion de Pozos de Petroleo y Gas,41.25,,Marketing,11.39
11.40,Marketing II,Grado,Industrial,Segundo Cuat.,2013,Si,19,,Desarrollo de Yacimientos  (Anual),41.26,,Marketing II,11.40
93.16,Matematica Discreta,Grado,Matematica,Segundo Cuat.,2013,Si,14,,Produccion de Petroleo,41.27,,Matematica Discreta,93.16
93.59,Matematica Discreta,Grado,Matematica,Segundo Cuat.,2013,Si,27,,Geologia para Ingenieros,41.32,,Matematica Discreta,93.59
93.17,Matematica I,Grado,Matematica,Segundo Cuat.,2013,Si,222,,Materiales para la Industria Petrolera,41.33,,Matematica I,93.17
93.02,Matematica II,Grado,Matematica,Segundo Cuat.,2013,Si,166,,Fluidos de Perforacion,41.44,,Matematica II,93.02
93.03,Matematica III,Grado,Matematica,Segundo Cuat.,2013,Si,166,,Trabajo Supervisado en Petroleo,41.96,,Matematica III,93.03
93.65,Matematica IV,Grado,Matematica,Segundo Cuat.,2013,Si,132,,Trabajo de Investigacion Dirigido en Petroleo,41.97,,Matematica IV,93.65
93.38,Matematica V,Grado,Matematica,Segundo Cuat.,2013,Si,21,,Economia Internacional,61.10,,Matematica V,93.38
41.33,Materiales para la Industria Petrolera,Grado,Petroleo,Segundo Cuat.,2013,Si,30,,Gestion Financiera,61.12,,Materiales para la Industria Petrolera,41.33
31.30,Materiales Polimericos,Grado,Mecanica,Segundo Cuat.,2013,Si,71,,Economia para Ingenieros,61.23,,Materiales Polimericos,31.30
11.16,Materiales y Procesos,Grado,Industrial,Segundo Cuat.,2013,Si,77,,Economia para Ingenieros,61.24,,Materiales y Procesos,11.16
31.22,Mecanica de Fluidos,Grado,Mecanica,Segundo Cuat.,2013,Si,82,,Economia,61.28,,Mecanica de Fluidos,31.22
31.24,Mecanica de Fluidos,Grado,Mecanica,Segundo Cuat.,2013,Si,9,,Derecho para Ingenieros,61.31,,Mecanica de Fluidos,31.24
31.26,Mecanica de Fluidos,Grado,Mecanica,Segundo Cuat.,2013,Si,22,,Derecho para Ingenieros,61.32,,Mecanica de Fluidos,31.26
93.51,Mecanica General,Grado,Fisica,Segundo Cuat.,2013,Si,57,,Finanzas de la Empresa,61.50,,Mecanica General,93.51
31.33,Mecanismos,Grado,Mecanica,Segundo Cuat.,2013,Si,40,,Microeconomia,61.81,,Mecanismos,31.33
31.27,Mecanismos y Elementos de Maquinas,Grado,Mecanica,Segundo Cuat.,2013,Si,79,,Macroeconomia,61.82,,Mecanismos y Elementos de Maquinas,31.27
31.99,Mecatronica Aplicada,Grado,Mecanica,Segundo Cuat.,2013,Si,12,,Derecho Publico y Privado,61.90,,Mecatronica Aplicada,31.99
21.87,Mercado Electrico,Grado,Electrica,Segundo Cuat.,2013,Si,2,,Derecho Aduanero,61.92,,Mercado Electrico,21.87
11.91,Metodologia de Investigacion,Grado,Industrial,Segundo Cuat.,2013,Si,25,,Estructura de Datos y Programacion,71.44,,Metodologia de Investigacion,11.91
94.24,Metodologia del Aprendizaje,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,94,,Informatica General,71.55,,Metodologia del Aprendizaje,94.24
93.07,Metodos Numericos,Grado,Matematica,Segundo Cuat.,2013,Si,135,,Programacion Basica,71.56,,Metodos Numericos,93.07
93.75,Metodos Numericos Avanzados,Grado,Matematica,Segundo Cuat.,2013,Si,7,,Introduccion a la Programacion,71.57,,Metodos Numericos Avanzados,93.75
61.81,Microeconomia,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,13,,Utilitarios en Informatica,71.80,,Microeconomia,61.81
22.33,Microelectronica,Grado,Electronica,Segundo Cuat.,2013,Si,6,,Programacion,71.85,,Microelectronica,22.33
81.61,Modelado Avanzado de Proc e Intelig de Neg,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,11,,Gestion de Datos,71.88,,Modelado Avanzado de Proc e Intelig de Neg,81.61
30.06,Motores de Combustion Interna I A,Grado,Mecanica,Segundo Cuat.,2013,Si,3,,Introduccion a la Informatica,72.03,,Motores de Combustion Interna I A,30.06
30.09,Motores de Combustion Interna I B,Grado,Mecanica,Segundo Cuat.,2013,Si,13,,Protocolos de Comunicacion,72.07,,Motores de Combustion Interna I B,30.09
30.13,Motores de Combustion Interna II,Grado,Mecanica,Segundo Cuat.,2013,Si,8,,Arquitecturas de Computadoras,72.08,,Motores de Combustion Interna II,30.13
72.55,Ontologias en la Web,Grado,Informatica,Segundo Cuat.,2013,Si,0,,Sistemas Operativos,72.11,,Ontologias en la Web,72.55
12.11,Operaciones Unitarias I,Grado,Quimica,Segundo Cuat.,2013,Si,14,,Simulacion de Sistemas,72.25,,Operaciones Unitarias I,12.11
12.12,Operaciones Unitarias II,Grado,Quimica,Segundo Cuat.,2013,Si,20,,Topologia de Internet: Analisis y Modelado,72.28,,Operaciones Unitarias II,12.12
12.13,Operaciones Unitarias III,Grado,Quimica,Segundo Cuat.,2013,Si,19,,Tipos para Lenguajes de Programacion,72.29,,Operaciones Unitarias III,12.13
11.02,Org. de la Produccion II,Grado,Industrial,Segundo Cuat.,2013,Si,63,,Programacion Imperativa,72.31,,Org. de la Produccion II,11.02
11.10,Organizacion de la Produccion I,Grado,Industrial,Segundo Cuat.,2013,Si,51,,Diseño y Procesamiento de Doc Xml,72.32,,Organizacion de la Produccion I,11.10
94.60,Panorama Historico Global,Grado,Desarrollo Profesional,Segundo Cuat.,2013,Si,28,,Programacion Orientada a Objetos,72.33,,Panorama Historico Global,94.60
41.03,Perforacion Petrolera I,Grado,Petroleo,Segundo Cuat.,2013,Si,23,,Estructura de Datos y Algoritmos,72.34,,Perforacion Petrolera I,41.03
41.08,Petrofisica y Fluidos de Reservorios,Grado,Petroleo,Segundo Cuat.,2013,Si,22,,Ingenieria de Software I,72.35,,Petrofisica y Fluidos de Reservorios,41.08
11.46,Planeamiento Estrategico,Grado,Industrial,Segundo Cuat.,2013,Si,59,,Interaccion Hombre-computadora (HCI),72.36,,Planeamiento Estrategico,11.46
41.21,Practica de Campo I,Grado,Petroleo,Segundo Cuat.,2013,Si,0,,Base de Datos I,72.37,,Practica de Campo I,41.21
41.22,Practica de Campo II,Grado,Petroleo,Segundo Cuat.,2013,Si,0,,Proyecto de Aplicaciones Web,72.38,,Practica de Campo II,41.22
11.20,Presupuesto y Control,Grado,Industrial,Segundo Cuat.,2013,Si,60,,"Automatas, Teoria de Lenguajes y Compiladores",72.39,,Presupuesto y Control,11.20
93.22,Prob.y Estadistica(i/m/q),Grado,Matematica,Segundo Cuat.,2013,Si,56,,Ingenieria de Software II,72.40,,Prob.y Estadistica(i/m/q),93.22
93.24,Probabil.y Estadistica(k/s),Grado,Matematica,Segundo Cuat.,2013,Si,45,,Base de Datos II,72.41,,Probabil.y Estadistica(k/s),93.24
93.36,Probabilidad,Grado,Matematica,Segundo Cuat.,2013,Si,72,,Programacion de Objetos Distribuidos,72.42,,Probabilidad,93.36
22.48,Procesamiento de Imagenes,Grado,Electronica,Segundo Cuat.,2013,Si,8,,Gestion de Proyectos Informaticos,72.43,,Procesamiento de Imagenes,22.48
22.47,Procesamiento de Voz,Grado,Electronica,Segundo Cuat.,2013,Si,3,,Proyecto Final  (Anual),72.45,,Procesamiento de Voz,22.47
31.65,Procesos de Manufactura II,Grado,Mecanica,Segundo Cuat.,2013,Si,14,,Proyecto Final  (Anual),72.45,,Procesos de Manufactura II,31.65
41.27,Produccion de Petroleo,Grado,Petroleo,Segundo Cuat.,2013,Si,24,,Introduccion Al Desarrollo de Videojuegos,72.50,,Produccion de Petroleo,41.27
71.85,Programacion,Grado,Informatica,Segundo Cuat.,2013,Si,31,,Analisis y Tratamiento de Imagenes,72.52,,Programacion,71.85
71.56,Programacion Basica,Grado,Informatica,Segundo Cuat.,2013,Si,159,,Ontologias en la Web,72.55,,Programacion Basica,71.56
72.42,Programacion de Objetos Distribuidos,Grado,Informatica,Segundo Cuat.,2013,Si,16,,Programacion Funcional,72.60,,Programacion de Objetos Distribuidos,72.42
72.60,Programacion Funcional,Grado,Informatica,Segundo Cuat.,2013,Si,15,,Desarrollo de Videojuegos 2D en iPhone OS,72.65,,Programacion Funcional,72.60
22.07,Programacion I,Grado,Electronica,Segundo Cuat.,2013,Si,11,,Analisis y Verificacion de Modelos y Codigos,72.72,,Programacion I,22.07
72.31,Programacion Imperativa,Grado,Informatica,Segundo Cuat.,2013,Si,35,,Aprendizaje Automatico (Machine Learning),72.75,,Programacion Imperativa,72.31
72.33,Programacion Orientada a Objetos,Grado,Informatica,Segundo Cuat.,2013,Si,31,,Big Data,72.80,,Programacion Orientada a Objetos,72.33
72.07,Protocolos de Comunicacion,Grado,Informatica,Segundo Cuat.,2013,Si,18,,Introduccion a la Licenciatura en Adm y Sistemas,81.02,,Protocolos de Comunicacion,72.07
31.88,Proyecto Automotor  (Anual),Grado,Mecanica,Primer Cuat.,2013,Si,4,,Sistemas Contables,81.07,,Proyecto Automotor  (Anual),31.88
72.38,Proyecto de Aplicaciones Web,Grado,Informatica,Segundo Cuat.,2013,Si,18,,Aplicacion de las Telecomunicaciones,81.08,,Proyecto de Aplicaciones Web,72.38
99.25,Proyecto de Fin de Carrera de Intercambio,Grado,Secretaria Academica,Segundo Cuat.,2013,Si,1,,Contabilidad Gerencial,81.11,,Proyecto de Fin de Carrera de Intercambio,99.25
12.90,Proyecto de Plantas  (Anual),Grado,Quimica,Segundo Cuat.,2013,Si,13,,Gestion de Ventas,81.21,,Proyecto de Plantas  (Anual),12.90
12.90,Proyecto de Plantas  (Anual),Grado,Quimica,Primer Cuat.,2013,Si,6,,Comercio Electronico,81.23,,Proyecto de Plantas  (Anual),12.90
21.84,Proyecto Final  (Anual),Grado,Electrica,Primer Cuat.,2013,Si,3,,Impuestos,81.25,,Proyecto Final  (Anual),21.84
72.45,Proyecto Final  (Anual),Grado,Informatica,Primer Cuat.,2013,Si,2,,Analisis y Modelado de Procesos de Negocios,81.30,,Proyecto Final  (Anual),72.45
72.45,Proyecto Final  (Anual),Grado,Informatica,Segundo Cuat.,2013,Si,15,,Analisis y Diseño de Aplicaciones Informaticas,81.31,,Proyecto Final  (Anual),72.45
11.99,Proyecto Final de Ingenieria Industrial,Grado,Industrial,Segundo Cuat.,2013,Si,83,,Sistemas Integrados de Gestion Empresaria II,81.36,,Proyecto Final de Ingenieria Industrial,11.99
31.40,Proyecto Mecanico  (Anual),Grado,Mecanica,Primer Cuat.,2013,Si,7,,Integracion de Procesos de Negocios y Aplic Inf,81.38,,Proyecto Mecanico  (Anual),31.40
31.40,Proyecto Mecanico  (Anual),Grado,Mecanica,Segundo Cuat.,2013,Si,7,,Seminario de Actualizacion,81.45,,Proyecto Mecanico  (Anual),31.40
11.41,Proyectos de Inversion  (Anual),Grado,Industrial,Primer Cuat.,2013,Si,125,,Diagnostico Empresario y Plan de Accion ( Trabajo Final ),81.50,,Proyectos de Inversion  (Anual),11.41
31.58,Proyectos Mecatronicos  (Anual),Grado,Mecanica,Primer Cuat.,2013,Si,6,,Diagnostico Empresario y Plan de Accion ( Trabajo Final ),81.55,,Proyectos Mecatronicos  (Anual),31.58
31.58,Proyectos Mecatronicos  (Anual),Grado,Mecanica,Segundo Cuat.,2013,Si,1,,Modelado Avanzado de Proc e Intelig de Neg,81.61,,Proyectos Mecatronicos  (Anual),31.58
12.09,Quimica,Grado,Quimica,Segundo Cuat.,2013,Si,25,,Gestion y Sistemas de Informacion de la Logistica Internacional,81.64,,Quimica,12.09
12.19,Quimica Analitica,Grado,Quimica,Segundo Cuat.,2013,Si,16,,Matematica II,93.02,,Quimica Analitica,12.19
12.01,Quimica I,Grado,Quimica,Segundo Cuat.,2013,Si,195,,Matematica III,93.03,,Quimica I,12.01
12.02,Quimica II,Grado,Quimica,Segundo Cuat.,2013,Si,160,,Metodos Numericos,93.07,,Quimica II,12.02
12.32,Quimica Organica I,Grado,Quimica,Segundo Cuat.,2013,Si,25,,Matematica Discreta,93.16,,Quimica Organica I,12.32
12.33,Quimica Organica II,Grado,Quimica,Segundo Cuat.,2013,Si,26,,Matematica I,93.17,,Quimica Organica II,12.33
12.20,Quimica-fisica,Grado,Quimica,Segundo Cuat.,2013,Si,18,,Algebra Lineal,93.18,,Quimica-fisica,12.20
41.10,Recuperacion Asistida de Petr.,Grado,Petroleo,Segundo Cuat.,2013,Si,25,,Analisis Matematico,93.20,,Recuperacion Asistida de Petr.,41.10
10.05,Redes de Valor e Innovacion de Modelos de Negocios,Grado,Industrial,Segundo Cuat.,2013,Si,5,,Algebra,93.21,,Redes de Valor e Innovacion de Modelos de Negocios,10.05
22.66,Redes Digitales,Grado,Electronica,Segundo Cuat.,2013,Si,8,,Prob.y Estadistica(i/m/q),93.22,,Redes Digitales,22.66
14.12,Reingenieria de Procesos,Grado,Industrial,Segundo Cuat.,2013,Si,21,,Probabil.y Estadistica(k/s),93.24,,Reingenieria de Procesos,14.12
12.28,Residuos solidos y residuos peligrosos,Grado,Quimica,Segundo Cuat.,2013,Si,9,,Analisis Matematico I,93.26,,Residuos solidos y residuos peligrosos,12.28
31.35,Resistencia de Materiales,Grado,Mecanica,Segundo Cuat.,2013,Si,13,,Analisis Matematico II,93.28,,Resistencia de Materiales,31.35
12.57,Seguridad e Inocuidad Alimentaria,Grado,Quimica,Segundo Cuat.,2013,Si,0,,Logica Computacional,93.35,,Seguridad e Inocuidad Alimentaria,12.57
12.83,Seguridad Ocupacional y Ambiental,Grado,Quimica,Segundo Cuat.,2013,Si,26,,Probabilidad,93.36,,Seguridad Ocupacional y Ambiental,12.83
81.45,Seminario de Actualizacion,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,13,,Matematica V,93.38,,Seminario de Actualizacion,81.45
12.54,Seminario: Introduccion a la Tecnologia de los Alimentos,Grado,Quimica,Segundo Cuat.,2013,Si,5,,Estadistica,93.39,,Seminario: Introduccion a la Tecnologia de los Alimentos,12.54
11.63,Simulacion,Grado,Industrial,Segundo Cuat.,2013,Si,60,,Fisica I,93.41,,Simulacion,11.63
12.27,Simulacion de Procesos,Grado,Quimica,Segundo Cuat.,2013,Si,12,,Fisica II,93.42,,Simulacion de Procesos,12.27
72.25,Simulacion de Sistemas,Grado,Informatica,Segundo Cuat.,2013,Si,8,,Fisica III,93.43,,Simulacion de Sistemas,72.25
81.07,Sistemas Contables,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,28,,Fisica IV,93.44,,Sistemas Contables,81.07
22.85,Sistemas de Control,Grado,Electronica,Segundo Cuat.,2013,Si,15,,Mecanica General,93.51,,Sistemas de Control,22.85
31.08,Sistemas de Representacion,Grado,Mecanica,Segundo Cuat.,2013,Si,192,,Fisica II (Quimicos),93.53,,Sistemas de Representacion,31.08
81.36,Sistemas Integrados de Gestion Empresaria II,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,36,,Algebra,93.58,,Sistemas Integrados de Gestion Empresaria II,81.36
31.82,Sistemas Mecatronicos,Grado,Mecanica,Segundo Cuat.,2013,Si,9,,Matematica Discreta,93.59,,Sistemas Mecatronicos,31.82
72.11,Sistemas Operativos,Grado,Informatica,Segundo Cuat.,2013,Si,9,,Matematica IV,93.65,,Sistemas Operativos,72.11
14.54,Strategy Development,Grado,Industrial,Segundo Cuat.,2013,Si,44,,Metodos Numericos Avanzados,93.75,,Strategy Development,14.54
11.34,Taller de Modelizacion de Productos,Grado,Industrial,Segundo Cuat.,2013,Si,4,,Formacion para Emprendedores,94.10,,Taller de Modelizacion de Productos,11.34
22.53,Tecnologia de Mat.electronicos,Grado,Electronica,Segundo Cuat.,2013,Si,14,,Formacion General I,94.21,,Tecnologia de Mat.electronicos,22.53
31.94,Tecnologia de Materiales Compuestos,Grado,Mecanica,Segundo Cuat.,2013,Si,16,,Formacion General III,94.23,,Tecnologia de Materiales Compuestos,31.94
22.01,Teoria de Circuitos,Grado,Electronica,Segundo Cuat.,2013,Si,17,,Metodologia del Aprendizaje,94.24,,Teoria de Circuitos,22.01
11.73,Teoria de la Decision,Grado,Industrial,Segundo Cuat.,2013,Si,45,,Administracion Recursos Humanos,94.27,,Teoria de la Decision,11.73
41.25,Terminacion y Reparacion de Pozos de Petroleo y Gas,Grado,Petroleo,Segundo Cuat.,2013,Si,24,,Formacion General II,94.28,,Terminacion y Reparacion de Pozos de Petroleo y Gas,41.25
12.26,Termodinamica,Grado,Quimica,Segundo Cuat.,2013,Si,14,,Formacion para Emprendedores,94.29,,Termodinamica,12.26
31.21,Termodinamica,Grado,Mecanica,Segundo Cuat.,2013,Si,36,,Estructura de las Organizaciones,94.40,,Termodinamica,31.21
31.25,Termodinamica,Grado,Mecanica,Segundo Cuat.,2013,Si,62,,Gestion de los Recursos Humanos,94.41,,Termodinamica,31.25
72.29,Tipos para Lenguajes de Programacion,Grado,Informatica,Segundo Cuat.,2013,Si,5,,Comunicacion Estrategica,94.42,,Tipos para Lenguajes de Programacion,72.29
11.85,Toma de Decisiones,Grado,Industrial,Segundo Cuat.,2013,Si,25,,Español intensivo para extranjeros A2,94.54,,Toma de Decisiones,11.85
72.28,Topologia de Internet: Analisis y Modelado,Grado,Informatica,Segundo Cuat.,2013,Si,5,,Español Semi-intensivo para Extranjeros B1,94.57,,Topologia de Internet: Analisis y Modelado,72.28
41.97,Trabajo de Investigacion Dirigido en Petroleo,Grado,Petroleo,Segundo Cuat.,2013,Si,1,,Español Semi-intensivo para Extranjeros B2,94.58,,Trabajo de Investigacion Dirigido en Petroleo,41.97
12.95,Trabajo de Laboratorio de Quimica,Grado,Quimica,Segundo Cuat.,2013,Si,25,,Panorama Historico Global,94.60,,Trabajo de Laboratorio de Quimica,12.95
12.96,Trabajo Supervisado,Grado,Quimica,Segundo Cuat.,2013,Si,10,,Filosofia,94.61,,Trabajo Supervisado,12.96
12.99,Trabajo Supervisado,Grado,Quimica,Segundo Cuat.,2013,Si,0,,Etica en los Negocios,94.62,,Trabajo Supervisado,12.99
41.96,Trabajo Supervisado en Petroleo,Grado,Petroleo,Segundo Cuat.,2013,Si,1,,Epistemologia y Heuristica,94.63,,Trabajo Supervisado en Petroleo,41.96
31.37,Transferencia de Calor,Grado,Mecanica,Segundo Cuat.,2013,Si,34,,Proyecto de Fin de Carrera de Intercambio,99.25,,Transferencia de Calor,31.37
21.83,Transmision de la Energia Electrica,Grado,Electrica,Segundo Cuat.,2013,Si,3,,Español Lengua Segunda B1,99.51,,Transmision de la Energia Electrica,21.83
22.61,Transmision de la Informacion,Grado,Electronica,Segundo Cuat.,2013,Si,17,,Español Lengua Segunda B2,99.52,,Transmision de la Informacion,22.61
31.85,Transmisiones Automotrices,Grado,Mecanica,Segundo Cuat.,2013,Si,5,,Español Lengua Segunda C1,99.53,,Transmisiones Automotrices,31.85
71.80,Utilitarios en Informatica,Grado,Informatica,Segundo Cuat.,2013,Si,22,,"Español para Extranjeros, Nivel C2",99.54,,Utilitarios en Informatica,71.80